"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NRP","Natural Resource Partners LP","28.5","$348.89M","2002","Energy","Coal Mining","https://www.nasdaq.com/symbol/nrp",
"NTZ","Natuzzi, S.p.A.","1.65","$90.51M","1993","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/ntz",
"NLS","Nautilus Group, Inc. (The)","13.15","$399.26M","n/a","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/nls",
"NCI","Navigant Consulting, Inc.","19.07","$859.44M","n/a","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/nci",
"NVGS","Navigator Holdings Ltd.","11.4","$633.04M","2013","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nvgs",
"NNA","Navios Maritime Acquisition Corporation","0.8707","$130.92M","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nna",
"NM","Navios Maritime Holdings Inc.","0.8899","$106.39M","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nm",
"NM^G","Navios Maritime Holdings Inc.","13.65","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nm^g",
"NM^H","Navios Maritime Holdings Inc.","13.0732","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nm^h",
"NAP","Navios Maritime Midstream Partners LP","3.9","$81.69M","2014","n/a","n/a","https://www.nasdaq.com/symbol/nap",
"NMM","Navios Maritime Partners LP","1.68","$279.25M","2007","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nmm",
"NAV","Navistar International Corporation","32.55","$3.21B","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/nav",
"NAV^D","Navistar International Corporation","20.7","n/a","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/nav^d",
"NCS","NCI Building Systems, Inc.","17.4","$1.15B","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/ncs",
"NCR","NCR Corporation","30.89","$3.66B","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/ncr",
"NP","Neenah, Inc.","77.85","$1.31B","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/np",
"NNI","Nelnet, Inc.","52.24","$2.13B","2003","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/nni",
"NPTN","NeoPhotonics Corporation","6.01","$266.11M","2011","Technology","Semiconductors","https://www.nasdaq.com/symbol/nptn",
"NETS","Netshoes (Cayman) Limited","6.21","$192.67M","2017","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/nets",
"NVRO","Nevro Corp.","86.21","$2.57B","2014","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/nvro",
"HYB","New America High Income Fund, Inc. (The)","8.68","$202.84M","1988","n/a","n/a","https://www.nasdaq.com/symbol/hyb",
"GF","New Germany Fund, Inc. (The)","19.19","$305.35M","1990","n/a","n/a","https://www.nasdaq.com/symbol/gf",
"NWHM","New Home Company Inc. (The)","10.98","$229.23M","2014","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/nwhm",
"IRL","New Ireland Fund, Inc. (The)","11.97","$59.63M","1990","n/a","n/a","https://www.nasdaq.com/symbol/irl",
"NEWM","New Media Investment Group Inc.","17.3","$920.77M","2014","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/newm",
"NMFC","New Mountain Finance Corporation","13.15","$998.55M","2011","n/a","n/a","https://www.nasdaq.com/symbol/nmfc",
"EDU","New Oriental Education & Technology Group, Inc.","86.25","$13.6B","2006","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/edu",
"NEWR","New Relic, Inc.","72.5","$4.02B","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/newr",
"NRZ","New Residential Investment Corp.","16.65","$5.6B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/nrz",
"SNR","New Senior Investment Group Inc.","8.09","$664.58M","2014","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/snr",
"NWY","New York & Company, Inc.","3.39","$217.16M","2004","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/nwy",
"NYCB","New York Community Bancorp, Inc.","12.95","$6.35B","n/a","Finance","Banks","https://www.nasdaq.com/symbol/nycb",
"NYCB^A","New York Community Bancorp, Inc.","27.11","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nycb^a",
"NYCB^U","New York Community Bancorp, Inc.","49.8","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nycb^u",
"NYRT","New York REIT, Inc.","21.19","$355.84M","2014","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/nyrt",
"NYT","New York Times Company (The)","23.45","$3.87B","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/nyt",
"NWL","Newell Brands Inc.","25.28","$12.27B","n/a","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/nwl",
"NFX","Newfield Exploration Company","23.41","$4.68B","1993","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/nfx",
"NJR","NewJersey Resources Corporation","39.8","$3.49B","n/a","Public Utilities","Oil/Gas Transmission","https://www.nasdaq.com/symbol/njr",
"NEU","NewMarket Corporation","397.72","$4.68B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/neu",
"NEM","Newmont Mining Corporation","38.39","$20.49B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/nem",
"NR","Newpark Resources, Inc.","8.05","$718.21M","n/a","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/nr",
"NEXA","Nexa Resources S.A.","17.11","$2.28B","2017","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/nexa",
"NXRT","NexPoint Residential Trust, Inc.","24.66","$516.15M","2015","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/nxrt",
"NHF","NexPoint Strategic Opportunities Fund","23.09","$525.03M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nhf",
"NEP","NextEra Energy Partners, LP","40.89","$2.22B","2014","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/nep",
"NEE","NextEra Energy, Inc.","162.27","$76.4B","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/nee",
